Country,Order_Count
"United Kingdom",36536
"Germany",789
"EIRE",626
"France",622
"Netherlands",228
"Spain",154
"Belgium",149
"Sweden",105
"Australia",95
"Portugal",95
"Switzerland",93
"Italy",65
"Finland",57
"Channel Islands",55
"Austria",45
"Norway",45
"Denmark",43
"Cyprus",37
"Japan",33
"Poland",28
"Unspecified",24
"USA",20
"Greece",18
"United Arab Emirates",16
"Hong Kong",15
"Singapore",11
"Bahrain",10
"Israel",10
"Malta",9
"Canada",8
"Iceland",8
"Lithuania",6
"RSA",4
"European Community",4
"Korea",2
"Lebanon",2
"Nigeria",2
"Thailand",2
"Brazil",2
"Czech Republic",2
"Bermuda",1
"Saudi Arabia",1
"West Indies",1
